년월,시도명,읍면동명,업종명,성별,이용자수,이용금액,거주인구,근무인구,방문인구,데이터기준일자
2020-01-01,제주시,용담2동,택시 운송업,남성,23,141200,3282962.828,766166.576,5346450.122,2020-12-15
2020-01-01,제주시,용담2동,"피자, 햄버거, 샌드위치 및 유사 음식점업",남성,7835,77633069,3282962.828,766166.576,5346450.122,2020-12-15
2020-01-01,제주시,용담2동,한식 음식점업,남성,13818,489862540,3282962.828,766166.576,5346450.122,2020-12-15
2020-01-01,제주시,용담2동,화장품 및 방향제 소매업,남성,36,2305500,3282962.828,766166.576,5346450.122,2020-12-15
2020-01-01,제주시,용담2동,중식 음식점업,남성,497,13088000,3282962.828,766166.576,5346450.122,2020-12-15
2020-01-01,제주시,용담2동,차량용 주유소 운영업,남성,6408,351725181,3282962.828,766166.576,5346450.122,2020-12-15
2020-01-01,제주시,용담2동,체인화 편의점,남성,25237,169622528,3282962.828,766166.576,5346450.122,2020-12-15
2020-01-01,제주시,애월읍,한식 음식점업,여성,12494,472292050,11334754.65,832367.326,7254038.019,2020-12-15
2020-01-01,제주시,외도동,스포츠 및 레크레이션 용품 임대업,남성,71,2119500,3651449.212,197093.412,1837113.079,2020-12-15
2020-01-01,제주시,삼양동,스포츠 및 레크레이션 용품 임대업,남성,366,14186390,5781554.072,360965.173,2145409.749,2020-12-15
2020-01-01,제주시,외도동,서양식 음식점업,여성,1103,25954600,3918957.932,185338.397,1658424.284,2020-12-15
2020-01-01,제주시,외도동,기타 외국식 음식점업,여성,186,3567200,3918957.932,185338.397,1658424.284,2020-12-15
2020-01-01,제주시,외도동,기타 주점업,여성,1,80000,3918957.932,185338.397,1658424.284,2020-12-15
2020-01-01,제주시,외도동,기타음식료품위주종합소매업,여성,45,1635400,3918957.932,185338.397,1658424.284,2020-12-15
2020-01-01,제주시,외도동,마사지업,여성,3,210000,3918957.932,185338.397,1658424.284,2020-12-15
2020-01-01,제주시,외도동,비알콜 음료점업,여성,1515,13156150,3918957.932,185338.397,1658424.284,2020-12-15
2020-01-01,제주시,외도동,빵 및 과자류 소매업,여성,1723,24333120,3918957.932,185338.397,1658424.284,2020-12-15
2020-01-01,제주시,외도동,수산물 소매업,여성,64,2151500,3918957.932,185338.397,1658424.284,2020-12-15
2020-01-01,제주시,외도동,중식 음식점업,여성,415,11348500,3918957.932,185338.397,1658424.284,2020-12-15
2020-01-01,제주시,외도동,슈퍼마켓,여성,7493,192727040,3918957.932,185338.397,1658424.284,2020-12-15
2020-01-01,제주시,외도동,스포츠 및 레크레이션 용품 임대업,여성,30,689100,3918957.932,185338.397,1658424.284,2020-12-15
2020-01-01,제주시,외도동,여관업,여성,364,10624150,3918957.932,185338.397,1658424.284,2020-12-15
2020-01-01,제주시,외도동,욕탕업,여성,1,20000,3918957.932,185338.397,1658424.284,2020-12-15
2020-01-01,제주시,외도동,육류 소매업,여성,191,34679780,3918957.932,185338.397,1658424.284,2020-12-15
2020-01-01,제주시,외도동,일식 음식점업,여성,144,9452800,3918957.932,185338.397,1658424.284,2020-12-15
2020-01-01,제주시,외도동,과실 및 채소 소매업,여성,95,9665900,3918957.932,185338.397,1658424.284,2020-12-15
2020-01-01,제주시,외도동,건강보조식품 소매업,여성,16,2845750,3918957.932,185338.397,1658424.284,2020-12-15
2020-01-01,제주시,외도동,화장품 및 방향제 소매업,남성,97,3986690,3651449.212,197093.412,1837113.079,2020-12-15
2020-01-01,제주시,외도동,호텔업,남성,96,9882320,3651449.212,197093.412,1837113.079,2020-12-15
2020-01-01,제주시,외도동,한식 음식점업,남성,7881,305511264,3651449.212,197093.412,1837113.079,2020-12-15
2020-01-01,제주시,외도동,"피자, 햄버거, 샌드위치 및 유사 음식점업",남성,1550,23044150,3651449.212,197093.412,1837113.079,2020-12-15
